,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2018,0.0192563657,BM.KLT.DINV.WD.GD.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1,2018,0.0070099679000000005,BM.KLT.DINV.WD.GD.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,2018,1.0293519593,BM.KLT.DINV.WD.GD.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2018,1.6682527447000002,BM.KLT.DINV.WD.GD.ZS,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
4,2018,0.42270703530000003,BM.KLT.DINV.WD.GD.ZS,IND,India,South Asia,Lower middle income,IBRD
5,2018,3.1808963603000002,BM.KLT.DINV.WD.GD.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
6,2018,1.6068756719000001,BM.KLT.DINV.WD.GD.ZS,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
7,2018,1.8932199064000002,BM.KLT.DINV.WD.GD.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
8,2018,0.0771421369,BM.KLT.DINV.WD.GD.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
9,2018,3.7022954710000002,BM.GSR.INSF.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
10,2018,16.5367005549,BM.GSR.INSF.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
11,2018,2.594966653,BM.GSR.INSF.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
12,2018,6.9112815054,BM.GSR.INSF.ZS,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
13,2018,4.5072775865,BM.GSR.INSF.ZS,IND,India,South Asia,Lower middle income,IBRD
14,2018,7.4652040256,BM.GSR.INSF.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
15,2018,6.9259709888,BM.GSR.INSF.ZS,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
16,2018,2.9962207584,BM.GSR.INSF.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
17,2018,11.8161142049,BM.GSR.INSF.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
18,2018,27.280196634,BM.GSR.CMCP.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
19,2018,16.8403040037,BM.GSR.CMCP.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
20,2018,23.894444965,BM.GSR.CMCP.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
21,2018,13.7292682133,BM.GSR.CMCP.ZS,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
22,2018,49.0667152975,BM.GSR.CMCP.ZS,IND,India,South Asia,Lower middle income,IBRD
23,2018,63.5755338089,BM.GSR.CMCP.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
24,2018,39.096235103,BM.GSR.CMCP.ZS,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
25,2018,44.6760725445,BM.GSR.CMCP.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
26,2018,14.4720108684,BM.GSR.CMCP.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
